Year,Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
2019,343.52,0.74,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,2.0,2.5
2019,28855.68,62.16,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,168.0,2.54
1998,40280760.0,118233.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,407700.0,0.877777778
1998,13318240.0,39092.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,134800.0,1.293103448
1999,43141845.0,109755.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,406500.0,0.76483871
1999,14210807.0,36153.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,133900.0,1.3334375
2000,39631229.0,104962.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,403700.0,0.649655172
2000,8481888.0,22464.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,86400.0,1.403548387
2001,36092742.0,91884.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,353400.0,0.733703704
2001,7761880.0,19760.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,76000.0,1.387096774
2002,33219703.0,87725.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,350900.0,0.748275862
2002,6418626.0,16950.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,67800.0,1.725806452
2003,32079418.0,77784.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,324100.0,0.794333333
2003,5414206.0,13128.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,54700.0,1.402258065
2004,37550644.0,72786.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,346600.0,0.732857143
2004,7518796.0,14574.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,69400.0,1.313870968
2005,40377064.0,70707.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,336700.0,0.766923077
2005,12543632.0,21966.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,104600.0,1.49
2006,43625736.0,75152.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,341600.0,0.735185185
2006,13805451.0,23782.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,108100.0,1.453870968
2007,43928620.0,52688.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,329300.0,0.893076923
2007,12019340.0,14416.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,90100.0,1.509032258
2008,36274944.0,22824.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,253600.0,0.7352
2008,9097344.0,5724.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,63600.0,1.39483871
2009,40575528.0,44268.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,260400.0,0.797916667
2009,9582930.0,10455.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,61500.0,1.522
2010,45713472.0,66048.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,275200.0,0.9456
2010,14833623.0,21432.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,89300.0,1.405
2011,39819504.0,78441.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,237700.0,0.902307692
2011,14255952.0,28083.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,85100.0,1.391333333
2012,35890400.0,73780.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,238000.0,0.8236
2012,10574096.0,21737.2,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,70120.0,1.501666667
2013,35270009.0,65907.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,244100.0,1.009047619
2013,12166058.0,22734.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,84200.0,1.507407407
2014,36804048.0,80454.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,243800.0,0.643636364
2014,12484392.0,27291.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,82700.0,1.4928
2015,35450795.0,74085.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,224500.0,0.627142857
2015,13470986.28,28151.64,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,85308.0,1.226129032
2016,36026010.0,82278.0,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,235080.0,0.95625
2016,18391532.5,42003.5,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,120010.0,1.325
2017,37761511.68,91141.86,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,239847.0,1.011666667
2017,8073050.88,19485.26,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,51277.0,1.3459375
2018,35251899.2,76067.6,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,217336.0,0.689090909
2018,4353285.8,9393.65,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,26839.0,1.436896552
2019,37976479.52,81807.74,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,221102.0,0.680740741
2019,11965145.12,25774.94,2.47,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,0.87,47.35,52.65,42.3,57.7,51.14,54.56,45.44,69662.0,1.765625
2004,356546.94,691.11,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,3291.0,1.815
2005,397175.04,695.52,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,3312.0,2.03
2006,337154.4,580.8,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,2640.0,1.495
2007,496248.0,595.2,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,3720.0,1.855
1997,33309.5,108.5,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,350.0,1.495
1997,103449.79,336.97,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,1087.0,1.94
2008,91831.68,57.78,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,642.0,0.7
2008,452435.52,284.67,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,3163.0,2.08
2009,88817.4,96.9,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,570.0,2.1
2009,351841.56,383.86,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,2258.0,2.3
2010,76576.71,110.64,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,461.0,3.02
2010,402650.64,581.76,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,2424.0,2.425
2011,59804.64,117.81,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,357.0,2.86
2011,475254.24,936.21,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,2837.0,2.48
2012,80527.2,165.54,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,534.0,2.52
2012,388159.2,797.94,25.04,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,7.51,63.96,36.04,98.0,2.0,23.46,59.85,40.15,2574.0,2.38
