Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Kharif     ,Season_Summer     ,Season_Winter     ,Yield (t/ha)
2001,22.14105555555556,181.8,290506129.6,739563.24,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2844474.0,False,False,False,1.409189189
2001,29.476097222222226,949.8,12879205.78,32787.56,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,126106.0,True,False,False,1.792903226
2001,27.70008333333333,111.0,60661032.67,154429.34,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,593959.0,False,True,False,1.098275862
2002,21.75918518518519,35.2,55218549.58,145818.5,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,583274.0,False,False,False,1.060714286
2002,28.751203703703705,99.8,11393913.18,30088.5,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,120354.0,False,True,False,1.625517241
2002,18.31636111111111,25.4,272751180.9,720268.25,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2881073.0,False,False,True,1.345945946
2003,22.16707407407408,142.2,54825417.92,132936.96,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,553904.0,False,False,False,1.141666667
2003,29.56033333333333,1082.2,18829559.28,45656.64,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,190236.0,True,False,False,1.42
2003,28.76178703703704,63.3,11569277.3,28052.4,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,116885.0,False,True,False,1.324642857
2003,16.200000000000003,55.900000000000006,287754557.0,697727.76,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2907199.0,False,False,True,1.456315789
2004,22.31388888888889,59.5,57905238.18,112240.17,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,534477.0,False,False,False,0.788148148
2004,27.963101851851853,104.7,12591274.8,24406.2,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,116220.0,False,True,False,1.437407407
2004,19.04340277777778,24.8,269703654.5,522777.99,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2489419.0,False,False,True,0.647105263
2005,22.087222222222223,34.3,63945301.36,111978.93,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,533233.0,False,False,False,0.962666667
2005,28.81411111111111,36.3,13581059.92,23782.71,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,113251.0,False,True,False,1.304583333
2005,18.126194444444444,28.4,312361859.8,546997.92,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2604752.0,False,False,True,1.035263158
2006,22.487601851851853,20.5,66151608.93,113956.26,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,517983.0,False,False,False,0.962413793
2006,28.768101851851853,92.4,13976071.56,24075.92,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,109436.0,False,True,False,1.45173913
2006,17.73225,1.7000000000000002,349490036.6,602050.02,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2736591.0,False,False,True,1.482702703
2007,22.32890740740741,48.7,69937084.4,83882.56,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,524266.0,False,False,False,0.617
2007,28.842972222222222,114.7,14732696.0,17670.4,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,110440.0,False,True,False,1.416666667
2007,17.839805555555554,41.900000000000006,379211511.0,454826.4,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2842665.0,False,False,True,1.260789474
2008,21.96553703703704,21.5,78224570.88,49218.48,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,546872.0,False,False,False,1.230344828
2008,28.26523148148148,59.3,15094439.04,9497.34,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,105526.0,False,True,False,1.641
2008,16.927652777777777,30.0,406644840.0,255858.75,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2842875.0,False,False,True,1.545789474
2009,23.38227777777778,77.69999999999999,81944179.8,89401.3,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,525890.0,False,False,False,0.905666667
2009,27.83675925925926,101.4,14909169.24,16265.94,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,95682.0,False,True,False,1.492083333
2009,18.04405555555556,1.5,389933005.6,425417.86,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2502458.0,False,False,True,1.105526316
2010,22.98628703703704,38.6,82260661.98,118852.32,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,495218.0,False,False,False,0.919642857
2010,29.702574074074075,50.9,14030481.15,20271.6,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,84465.0,False,True,False,1.827916667
2010,18.629472222222223,3.3000000000000003,376352935.3,543764.4,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2265685.0,False,False,True,0.979210526
2011,23.06807407407408,12.0,95552905.44,188231.01,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,570397.0,False,False,False,1.546774194
2011,28.69612962962963,98.4,16108723.2,31732.8,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,96160.0,False,True,False,1.736190476
2011,18.07852777777778,12.8,449687170.1,885845.07,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2684379.0,False,False,True,2.491578947
2012,23.71960185185185,40.7,81495939.2,167531.44,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,540424.0,False,False,False,1.743793103
2012,28.94783333333333,39.2,15851643.6,32586.27,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,105117.0,False,True,False,2.396086957
2012,18.22461111111112,20.8,400124576.8,822537.26,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2653346.0,False,False,True,2.567894737
2013,22.46113888888889,197.5,79383383.96,148339.08,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,549404.0,False,False,False,1.413
2013,29.24539814814815,121.8,13322989.43,24895.89,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,92207.0,False,True,False,2.233157895
2013,18.352166666666665,27.700000000000003,362554741.5,677484.81,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2509203.0,False,False,True,2.066842105
2014,22.5275,47.8,87727082.88,191772.24,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,581128.0,False,False,False,1.738965517
2014,28.793611111111108,104.6,12418724.4,27147.45,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,82265.0,False,True,False,1.971764706
2014,17.956944444444446,51.7,392493131.8,857993.73,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2599981.0,False,False,True,2.625263158
2015,22.64888888888889,10.4,86694484.92,181173.96,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,549012.0,False,False,False,1.347142857
2015,29.032222222222224,78.2,12838398.82,26829.66,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,81302.0,False,True,False,2.528333333
2015,18.4175,14.6,410881820.0,858660.0,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2602000.0,False,False,True,2.166052632
2016,22.855555555555554,60.8,85333737.75,194889.45,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,556827.0,False,False,False,1.736153846
2016,28.5825,87.9,12922499.75,29513.05,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,84323.0,False,True,False,2.493333333
2016,18.23444444444445,9.9,413564587.8,944519.45,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2698627.0,False,False,True,2.571052632
2017,22.75472222222222,50.1,82293573.12,198625.24,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,522698.0,False,False,False,1.78173913
2017,29.00805555555556,101.5,10684665.6,25788.7,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,67865.0,False,True,False,2.034285714
2017,18.49361111111111,0.7,427673164.8,1032239.6,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2716420.0,False,False,True,2.466842105
2018,22.495555555555555,50.1,72242744.6,155887.55,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,445393.0,False,False,False,1.439545455
2018,28.9925,101.5,9796880.0,21140.0,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,60400.0,False,True,False,2.205
2018,18.455,0.7,430467283.8,928875.15,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2653929.0,False,False,True,1.809210526
2019,22.495555555555555,50.1,76255428.4,164267.05,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,443965.0,False,False,False,1.759583333
2019,29.202222222222225,101.5,10374132.24,22347.63,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,60399.0,False,True,False,2.142857143
2019,17.37611111111111,0.7,445378145.8,959419.62,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2593026.0,False,False,True,2.173157895
