Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Kharif     ,Season_Rabi       ,Season_Summer     ,Yield (t/ha)
2000,22.821478395061728,16.2,18799751.34,49790.52,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,191502.0,False,True,False,2.568571429
2000,29.048583333333333,133.4,15319035.82,40571.96,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,156046.0,False,False,True,2.77
2001,22.14105555555556,181.8,25000709.09,63646.18,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,244793.0,False,False,False,1.768108108
2001,22.620851851851853,4.5,19139059.87,48723.74,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,187399.0,False,True,False,2.911818182
2001,27.70008333333333,111.0,15305610.32,38964.64,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,149864.0,False,False,True,2.469189189
2002,21.75918518518519,35.2,24144163.45,63758.75,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,255035.0,False,False,False,1.757567568
2002,22.94225,26.9,17770221.69,46926.75,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,187707.0,False,True,False,2.553513514
2002,28.751203703703705,99.8,15228900.21,40215.75,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,160863.0,False,False,True,2.609459459
2003,29.56033333333333,1082.2,25638789.4,62167.2,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,259030.0,True,False,False,1.68
2003,22.37628703703704,63.10000000000001,19433535.24,47121.12,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,196338.0,False,True,False,2.925945946
2003,28.76178703703704,63.3,15941916.76,38654.88,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,161062.0,False,False,True,2.775
2004,29.647777777777776,956.4,29357214.82,56904.33,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,270973.0,True,False,False,1.597837838
2004,23.10679783950617,27.0,20875492.9,40463.85,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,192685.0,False,True,False,3.198
2004,27.963101851851853,104.7,16640590.64,32255.16,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,153596.0,False,False,True,2.952368421
2005,29.499923611111107,796.7,33215801.36,58166.43,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,276983.0,True,False,False,1.619210526
2005,23.009175925925927,40.3,25431794.16,44535.33,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,212073.0,False,True,False,2.773611111
2005,28.81411111111111,36.3,21012142.56,36795.78,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,175218.0,False,False,True,2.363611111
2006,29.54027777777777,936.3,33139978.74,57088.68,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,259494.0,True,False,False,1.558918919
2006,22.995984567901235,2.0,26318987.64,45338.48,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,206084.0,False,True,False,3.231944444
2006,28.768101851851853,92.4,22430601.27,38640.14,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,175637.0,False,False,True,3.389444444
2007,22.32890740740741,48.7,35124086.6,42127.84,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,263299.0,False,False,False,1.305526316
2007,23.0038950617284,59.8,28617101.4,34323.36,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,214521.0,False,True,False,3.763611111
2007,28.842972222222222,114.7,24209565.4,29036.96,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,181481.0,False,False,True,3.207142857
2008,21.96553703703704,21.5,35043798.72,22049.37,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,244993.0,False,False,False,1.592631579
2008,22.386140432098767,33.2,29504288.64,18563.94,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,206266.0,False,True,False,3.186388889
2008,28.26523148148148,59.3,27065170.56,17029.26,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,189214.0,False,False,True,3.203714286
2009,23.38227777777778,77.69999999999999,36605234.4,39936.4,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,234920.0,False,False,False,1.760526316
2009,23.0876975308642,1.8,32603153.52,35570.12,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,209236.0,False,True,False,2.516
2009,27.83675925925926,101.4,30625953.54,33412.99,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,196547.0,False,False,True,2.8075
2010,22.98628703703704,38.6,38947147.26,56271.84,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,234466.0,False,False,False,1.910789474
2010,23.772777777777776,1.4,39488167.53,57053.52,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,237723.0,False,True,False,3.635882353
2010,29.702574074074075,50.9,30151124.43,43563.12,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,181513.0,False,False,True,3.725135135
2011,23.06807407407408,12.0,44214558.72,87098.88,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,263936.0,False,False,False,2.402432432
2011,23.28091049382716,21.1,40135446.72,79063.38,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,239586.0,False,True,False,4.221764706
2011,28.69612962962963,98.4,32383458.72,63792.63,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,193311.0,False,False,True,4.129166667
2012,23.71960185185185,40.7,39364681.2,80922.09,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,261039.0,False,False,False,3.673513514
2012,23.63068209876544,28.1,36544268.8,75124.16,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,242336.0,False,True,False,3.189714286
2012,28.94783333333333,39.2,28646118.8,58887.91,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,189961.0,False,False,True,5.096756757
2013,22.46113888888889,197.5,39962610.73,74675.79,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,276577.0,False,False,False,2.933783784
2013,23.352901234567906,28.300000000000004,38072970.51,71144.73,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,263499.0,False,True,False,4.180294118
2013,29.24539814814815,121.8,27780080.87,51911.01,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,192263.0,False,False,True,4.573243243
2014,22.5275,47.8,41878719.36,91547.28,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,277416.0,False,False,False,2.717368421
2014,23.092685185185186,58.9,37999047.36,83066.28,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,251716.0,False,True,False,3.269705882
2014,28.793611111111108,104.6,26778190.56,58537.38,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,177386.0,False,False,True,3.988378378
2015,22.64888888888889,10.4,42746237.0,89331.0,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,270700.0,False,False,False,2.795263158
2015,23.366203703703704,41.8,39474657.62,82494.06,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,249982.0,False,True,False,3.842352941
2015,29.032222222222224,78.2,29098549.43,60810.09,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,184273.0,False,False,True,3.562972973
2016,22.855555555555554,60.8,37002212.5,84507.5,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,241450.0,False,False,False,2.579459459
2016,23.224166666666665,15.5,43658319.75,99709.05,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,284883.0,False,True,False,6.058181818
2016,28.5825,87.9,29818925.25,68101.95,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,194577.0,False,False,True,4.561666667
2017,22.75472222222222,50.1,35147220.48,84831.96,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,223242.0,False,False,False,2.639189189
2017,23.418796296296296,23.5,42207302.4,101872.3,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,268085.0,False,True,False,5.3121875
2017,29.00805555555556,101.5,29302575.36,70725.22,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,186119.0,False,False,True,4.354705882
2018,22.495555555555555,50.1,36222017.4,78160.95,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,223317.0,False,False,False,2.154375
2018,23.314351851851853,23.5,45796196.8,98820.4,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,282344.0,False,True,False,5.559705882
2018,28.9925,101.5,26571117.4,57335.95,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,163817.0,False,False,True,3.415151515
2019,22.495555555555555,50.1,35950570.32,77443.59,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,209307.0,False,False,False,2.31625
2019,23.02462962962963,23.5,51745791.68,111469.16,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,301268.0,False,True,False,5.7365625
2019,29.202222222222225,101.5,27921820.88,60148.31,0.66,38.27,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,162563.0,False,False,True,4.237941176
