Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Kharif     ,Season_Rabi       ,Season_Summer     ,Yield (t/ha)
2004,30.51659523809524,101.7,1451756.0,2814.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,13400.0,False,False,True,1.462777778
2005,26.54633928571429,2978.6,46660872.0,81711.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,389100.0,True,False,False,1.67037037
2005,25.87761507936508,120.20000000000002,8502328.0,14889.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,70900.0,False,True,False,2.137307692
2005,30.64675,27.1,1139240.0,1995.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,9500.0,False,False,True,1.239473684
2006,28.352107142857143,3095.0,60662250.0,104500.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,475000.0,True,False,False,1.599642857
2006,25.60499603174603,88.4,10983060.0,18920.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,86000.0,False,True,False,2.1984
2006,29.87745238095238,107.9,2452032.0,4224.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,19200.0,False,False,True,1.184761905
2007,27.74430357142857,2849.2,76184740.0,91376.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,571100.0,True,False,False,2.325357143
2007,26.544107142857143,4.6,11565780.0,13872.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,86700.0,False,True,False,2.6852
2007,31.26242857142857,22.7,1827580.0,2192.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,13700.0,False,False,True,1.413684211
2008,27.217419642857145,2241.8,78686304.0,49509.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,550100.0,True,False,False,1.992222222
2008,25.567839285714285,54.2,12287136.0,7731.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,85900.0,False,True,False,2.3832
2008,29.600392857142857,12.9,1358880.0,855.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,9500.0,False,False,True,1.381
2009,28.146830357142857,1893.9,104866860.0,114410.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,673000.0,True,False,False,1.972962963
2009,26.235599206349207,4.1,15800148.0,17238.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,101400.0,False,True,False,1.9875
2009,31.11182142857143,24.2,3131982.0,3417.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,20100.0,False,False,True,1.348235294
2010,26.76499107142857,2984.5,121359966.0,175344.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,730600.0,True,False,False,2.230769231
2010,25.96399007936508,41.3,22856736.0,33024.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,137600.0,False,True,False,2.514
2010,30.88383333333333,15.2,3704253.0,5352.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,22300.0,False,False,True,1.26
2011,27.068401785714286,2287.8,123328224.0,242946.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,736200.0,True,False,False,2.101851852
2011,26.14673611111112,6.4,19465824.0,38346.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,116200.0,False,True,False,2.656666667
2011,30.40586904761905,22.8,4171248.0,8217.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,24900.0,False,False,True,1.311666667
2012,27.12486607142857,2104.5,103871040.0,213528.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,688800.0,True,False,False,1.825769231
2012,26.43211904761905,3.2,18246800.0,37510.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,121000.0,False,True,False,1.665
2012,30.53817857142857,8.1,1824680.0,3751.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,12100.0,False,False,True,1.124444444
2013,27.08704464285714,2986.8,107890683.0,201609.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,746700.0,True,False,False,2.6244
2013,26.60002380952381,43.1,24794484.0,46332.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,171600.0,False,True,False,2.4765
2013,31.313166666666667,29.3,4074618.0,7614.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,28200.0,False,False,True,1.265833333
2014,27.799642857142857,1898.9,120843480.0,264165.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,800500.0,True,False,False,1.76
2014,26.251071428571432,196.6,36200208.0,79134.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,239800.0,False,True,False,1.730869565
2014,30.662857142857145,62.8,5419464.0,11847.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,35900.0,False,False,True,1.240454545
2015,27.679285714285715,1762.9,124606781.0,260403.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,789100.0,True,False,False,1.200833333
2015,26.38773809523809,184.4,39270637.9,82067.7,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,248690.0,False,True,False,1.55962963
2015,30.590714285714284,126.8,4595181.0,9603.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,29100.0,False,False,True,1.352608696
2016,27.69464285714286,2695.1,100889072.5,230415.5,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,658330.0,True,False,False,2.413448276
2016,26.38202380952381,47.7,52855158.75,120713.25,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,344895.0,False,True,False,2.637857143
2016,31.13642857142857,35.9,7693150.0,17570.0,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,50200.0,False,False,True,1.8748
2017,27.679642857142856,2225.9,109386950.4,264018.3,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,694785.0,True,False,False,2.253461538
2017,26.36666666666667,11.4,52543868.16,126820.82,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,333739.0,False,True,False,1.973793103
2017,31.12107142857143,29.4,5510714.88,13300.76,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,35002.0,False,False,True,1.334444444
2018,27.225357142857145,2225.9,114831598.6,247787.05,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,707963.0,True,False,False,1.515
2018,26.32857142857144,11.4,32668539.8,70493.15,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,201409.0,False,True,False,1.349230769
2018,31.118571428571432,29.4,2779297.0,5997.25,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,17135.0,False,False,True,1.0155
2019,27.68642857142857,2225.9,132549081.4,285533.07,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,771711.0,True,False,False,1.363214286
2019,26.38297619047619,11.4,51176235.52,110242.24,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,297952.0,False,True,False,2.171333333
2019,31.14071428571429,29.4,9789289.44,21087.78,14.97,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,56994.0,False,False,True,1.783913043
