Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Phosphorus_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Season_Whole Year ,Yield (t/ha)
2012,28.328913043478263,2018.2,2715304.8,5581.86,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,18006.0,False,False,8.578461538
2012,27.089132850241544,52.400000000000006,8444.8,17.36,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,56.0,True,False,5.255
2012,27.66480797101449,3042.0,20207200.0,41540.0,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,134000.0,False,True,2.56
2013,28.44332608695652,2047.2,3223427.41,6023.43,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,22309.0,False,False,6.22
2013,27.014550724637683,106.8,20018511.54,37407.42,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,138546.0,True,False,4.162666667
2014,28.74739130434783,1411.6,2978893.68,6511.89,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,19733.0,False,False,6.8325
2014,26.80463768115942,85.5,20576753.76,44980.98,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,136306.0,True,False,3.428571429
2015,28.68826086956522,1859.7,3016081.0,6303.0,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,19100.0,False,False,5.955263158
2015,26.92608695652174,83.9,15109934.17,31576.71,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,95687.0,True,False,3.359230769
2016,28.707391304347823,1961.1,3602141.25,8226.75,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,23505.0,False,False,3.571111111
2016,27.209130434782608,27.700000000000003,11229240.5,25645.9,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,73274.0,True,False,2.700714286
2017,28.681304347826085,1841.0,5231573.76,12627.02,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,33229.0,False,False,8.184444444
2017,26.97188405797101,38.8,12421543.68,29980.86,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,78897.0,True,False,2.319
2018,28.38086956521739,1841.0,3995797.0,8622.25,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,24635.0,False,False,57.1205
2018,26.912173913043475,38.8,13583114.6,29310.05,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,83743.0,True,False,2.023636364
2019,28.695652173913043,1841.0,6269927.04,13506.48,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,36504.0,False,False,8.732352941
2019,26.943188405797105,38.8,13406039.76,28878.87,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,78051.0,True,False,2.428181818
1997,28.508206521739133,1631.1,19214823.0,62589.0,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,201900.0,False,False,1.116666667
1998,27.476565217391304,3351.9,19078280.0,55999.0,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,193100.0,False,True,1.503684211
2004,27.34714492753623,2282.3,20528696.56,39791.64,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,189484.0,False,True,4.54547619
2007,27.41831884057971,2923.1000000000004,16008000.0,19200.0,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,120000.0,False,True,1.529166667
2013,28.44332608695652,2047.2000000000005,320478.82,598.86,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,2218.0,False,False,3.106666667
2013,27.014550724637683,106.8,554697.11,1036.53,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,3839.0,True,False,2.968333333
2014,28.74739130434783,1411.6,231572.64,506.22,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1534.0,False,False,3.016666667
2014,26.80463768115942,85.5,687018.96,1501.83,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,4551.0,True,False,2.82125
2015,28.68826086956522,1859.7,238759.92,498.96,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1512.0,False,False,3.676666667
2015,26.92608695652174,83.9,675696.89,1412.07,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,4279.0,True,False,3.42625
2016,28.707391304347823,1961.1,398296.75,909.65,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,2599.0,False,False,3.134
2016,27.209130434782605,27.700000000000003,613766.25,1401.75,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,4005.0,True,False,3.896923077
2017,28.681304347826085,1841.0,102493.44,247.38,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,651.0,False,False,3.32
2017,26.97188405797101,38.8,544742.4,1314.8,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,3460.0,True,False,3.88
2018,28.380869565217395,1841.0,186530.0,402.5,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1150.0,False,False,4.306666667
2018,26.912173913043475,38.8,468920.2,1011.85,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,2891.0,True,False,4.26
2019,28.695652173913043,1841.0,233250.08,502.46,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1358.0,False,False,3.01
2019,26.943188405797105,38.8,273957.2,590.15,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1595.0,True,False,3.037777778
1999,27.445713768115944,2226.1000000000004,13672303.38,34783.02,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,128826.0,False,True,1.253125
