Year,Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Low_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Area (ha),Yield (t/ha)
2003,3510919.58,8513.04,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,35471.0,3.27
2003,1715323.4,4159.2,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,17330.0,3.15
2013,4093401.7,7649.1,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,28330.0,2.82
2013,2093660.1,3912.3,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,14490.0,3.205
2014,4202726.4,9187.2,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,27840.0,2.925
2014,2133064.8,4662.9,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,14130.0,2.775
2015,4378844.3,9150.9,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,27730.0,2.83
2015,2149786.74,4492.62,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,13614.0,2.76
2016,4234297.5,9670.5,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,27630.0,2.795
2016,2021827.25,4617.55,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,13193.0,2.745
2017,4285359.36,10343.22,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,27219.0,2.635
2017,1779229.44,4294.38,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,11301.0,2.855
2018,4191410.2,9044.35,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,25841.0,2.72
2018,1710074.6,3690.05,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,10543.0,2.72
2019,4192833.36,9032.07,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,24411.0,2.475
2019,1766895.12,3806.19,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,10287.0,2.95
1997,127432630.0,415090.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1339000.0,8.778275862
1997,31310.93,101.99,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,329.0,2.018888889
1998,142835160.0,419253.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1445700.0,1.267241379
1998,3695120.0,10846.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,37400.0,2.053333333
1999,154642023.0,393417.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1457100.0,1.211935484
1999,4393782.0,11178.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,41400.0,2.081
2000,145919888.0,386464.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1486400.0,0.9865625
2000,2464067.0,6526.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,25100.0,1.987
2001,151887736.0,386672.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1487200.0,1.261875
2001,2737084.0,6968.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,26800.0,2.192
2002,141702056.0,374200.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1496800.0,0.8903125
2002,2508755.0,6625.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,26500.0,2.288
2003,148509592.0,360096.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1500400.0,1.232258065
2003,2919910.0,7080.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,29500.0,2.217
2004,161231588.0,312522.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1488200.0,1.022903226
2004,2220970.0,4305.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,20500.0,2.463
2005,176726104.0,309477.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1473700.0,1.215666667
2005,4652896.0,8148.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,38800.0,2.007
2006,190453923.0,328086.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1491300.0,1.166333333
2006,4852980.0,8360.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,38000.0,2.176
2007,204809020.0,245648.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1535300.0,1.377241379
2007,5522760.0,6624.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,41400.0,2.486
2008,214488480.0,134955.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1499500.0,1.170740741
2008,3146880.0,1980.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,22000.0,2.421111111
2009,225939000.0,246500.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1450000.0,1.106071429
2009,3209892.0,3502.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,20600.0,2.251111111
2010,246872682.0,356688.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1486200.0,1.3116
2010,4900245.0,7080.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,29500.0,2.388888889
2011,254027328.0,500412.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1516400.0,1.319642857
2011,4657056.0,9174.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,27800.0,2.427777778
2012,230437480.0,473711.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1528100.0,1.316153846
2012,4659720.0,9579.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,30900.0,2.38
2013,226488075.0,423225.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1567500.0,1.436
2013,5403926.0,10098.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,37400.0,2.423333333
2014,227708064.0,497772.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1508400.0,1.3064
2014,6461088.0,14124.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,42800.0,2.52375
2015,232348774.0,485562.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1471400.0,1.334583333
2015,4958374.0,10362.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,31400.0,2.538888889
2016,224623122.5,513005.5,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1465730.0,1.664444444
2016,10672330.0,24374.0,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,69640.0,2.369166667
2017,224315001.6,541410.7,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1424765.0,1.637916667
2017,4121464.32,9947.64,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,26178.0,2.535833333
2018,229909579.0,496105.75,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1417445.0,1.657916667
2018,7711150.2,16639.35,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,47541.0,2.755833333
2019,253877253.7,546894.41,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1478093.0,1.256296296
2019,12864136.96,27711.52,2.47,14.97,82.56,26.32,19.53,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,74896.0,2.660833333
2004,5681566.28,11012.82,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,52442.0,2.75
2005,6257065.84,10957.17,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,52177.0,2.81
2006,6766714.35,11656.7,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,52985.0,2.41
2007,6962279.4,8350.56,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,52191.0,2.32
1997,1443633.73,4702.39,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,15169.0,2.69
1997,610705.89,1989.27,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,6417.0,2.97
2008,4811579.52,3027.42,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,33638.0,2.325
2008,2244011.52,1411.92,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,15688.0,2.755
2009,4856286.12,5298.22,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,31166.0,1.895
2009,2483459.16,2709.46,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,15938.0,2.57
2010,5088281.52,7351.68,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,30632.0,2.35
2010,2654437.8,3835.2,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,15980.0,2.68
2011,5234497.44,10311.51,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,31247.0,2.495
2011,2678644.8,5276.7,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,15990.0,2.7
2012,4713254.0,9689.05,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,31255.0,2.59
2012,2197910.0,4518.25,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,14575.0,2.85
