Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Potassium_High_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
2008,27.196380952380952,1683.9,8598277.44,5409.99,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,60111.0,10.38925926
2009,27.306119047619045,1473.5,10170371.4,11095.9,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,65270.0,10.61148148
2010,27.36322619047619,1690.1,10343171.37,14944.08,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,62267.0,10.21074074
2011,27.185571428571432,1236.0,10982611.2,21634.8,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,65560.0,9.125555556
2012,27.70414285714286,1874.8,9815873.6,20178.52,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,65092.0,8.367777778
2013,27.21273809523809,1173.0,10088580.78,18851.94,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,69822.0,9.991111111
2014,27.277619047619048,1705.6,10628036.88,23232.99,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,70403.0,10.46592593
2015,27.260952380952386,1729.4,11389732.48,23802.24,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,72128.0,11.72703704
2016,27.270476190476188,1323.9,11515205.0,26299.0,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,75140.0,10.32555556
2017,27.27714285714286,1742.7000000000005,11009149.44,26571.88,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,69926.0,11.3137037
2018,27.48952380952381,1742.7000000000005,10670975.8,23026.15,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,65789.0,11.11888889
2019,27.32,1742.7000000000005,11035064.72,23771.39,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,64247.0,11.66851852
2004,26.48869047619048,1849.7,6281661.54,12176.01,24.9,75.04,6.32,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,57981.0,7.193043478
