Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Acidic_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Season_Whole Year ,Yield (t/ha)
2010,27.911377777777776,1655.3,33417511.47,48282.48,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,201177.0,False,False,1.348958333
2011,27.95990555555556,2316.0,37276550.4,73431.6,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,222520.0,False,False,1.360212766
2012,27.80416111111111,2013.9,33350023.2,68557.74,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,221154.0,False,False,1.52625
2013,28.55221111111112,2607.2,31154789.31,58217.13,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,215619.0,False,False,1.2828
2014,28.96333333333333,1518.2,32305440.0,70620.0,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,214000.0,False,False,1.505769231
2015,28.746888888888886,1659.6,36950940.0,77220.0,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,234000.0,False,False,1.022592593
2016,28.712888888888887,2292.7,38925500.0,88900.0,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,254000.0,False,False,1.393157895
2017,28.700888888888887,1533.8,34347110.4,82900.8,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,218160.0,False,False,1.308684211
2017,30.84511111111111,18.5,927321.6,2238.2,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,5890.0,True,False,1.668461538
2018,28.35577777777777,1533.8,34986053.4,75493.95,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,215697.0,False,False,1.47625
2019,28.733555555555554,1533.8,37357628.24,80474.63,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,217499.0,False,False,1.464897959
2019,30.87688888888889,18.5,702326.64,1512.93,70.33,24.2,64.03,52.83,4.77,41.9,25.76,1.51,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4089.0,True,False,1.290588235
