Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_Low_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
2007,25.03051851851852,2.5,44955800.0,53920.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,337000.0,1.615909091
2008,24.28475396825397,0.3,42039456.0,26451.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,293900.0,1.115
2009,24.88051322751323,0.3,33657120.0,36720.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,216000.0,1.492105263
2010,24.630904761904763,0.3,36992697.0,53448.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,222700.0,1.562
2011,24.78361111111111,1.6,34777152.0,68508.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,207600.0,1.5275
2012,24.785743386243382,0.1,32090240.0,65968.0,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,212800.0,1.65875
2013,25.09412433862434,3.0,40023585.51,74789.73,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,276999.0,1.745217391
2014,24.854285714285712,6.4,27928807.68,61052.64,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,185008.0,1.730357143
2015,24.838095238095235,13.2,30026902.32,62750.16,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,190152.0,1.463333333
2016,24.97746031746032,0.8999999999999999,30659501.5,70021.7,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,200062.0,1.72375
2017,24.96984126984127,0.1,34839740.16,84089.82,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,221289.0,1.76
2018,24.909047619047623,0.1,31686743.2,68374.6,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,195356.0,1.731578947
2019,24.750793650793653,0.1,29648867.68,63868.66,2.69,67.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,172618.0,1.873636364
