Year,Nitrogen_High_%,Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Yield (t/ha)
2016,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.150625
2017,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,1.8
2017,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.335
2017,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.163125
2018,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,1.36
2018,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.328571429
2018,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.16
2019,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,1.36
2019,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.327142857
2019,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.175555556
1998,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.212222222
1999,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.167142857
2000,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,2.64,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,0.184285714
2002,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,0.67
2004,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,0.58
2005,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,2.63,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,0.58
