Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Yield (t/ha)
2004,28.65139285714286,1428.0,208500330.0,404145.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1924500.0,False,0.946086957
2004,28.56292063492064,18.0,6554570.0,12705.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,60500.0,True,1.583181818
2005,27.521297619047623,1944.0,222079848.0,388899.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1851900.0,False,1.673181818
2005,29.15184126984127,0.7,10804792.0,18921.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,90100.0,True,1.609090909
2006,29.02797619047619,2162.5,223799004.0,385528.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1752400.0,False,1.060869565
2006,28.390904761904764,0.2,12783771.0,22022.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,100100.0,True,1.750454545
2007,28.10422619047619,2062.5,228434160.0,273984.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1712400.0,False,1.708333333
2007,29.34952380952381,0.5,19302980.0,23152.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,144700.0,True,1.694347826
2008,27.914571428571428,1486.9,256814016.0,161586.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1795400.0,False,1.3696
2008,28.04119047619048,3.7,16020480.0,10080.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,112000.0,True,1.8025
2009,28.537261904761905,1197.6999999999998,273869232.0,298792.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1757600.0,False,1.067916667
2009,29.223269841269843,0.0,10128300.0,11050.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,65000.0,True,1.798695652
2010,27.948678571428577,2078.9,280925232.0,405888.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1691200.0,False,1.680416667
2010,28.75734920634921,0.1,38288355.0,55320.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,230500.0,True,1.723478261
2011,28.195857142857147,1629.4,243574080.0,479820.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1454000.0,False,1.493333333
2011,28.56006349206349,0.0,38914896.0,76659.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,232300.0,True,1.875833333
2012,27.55394047619048,1026.8000000000002,183885520.0,378014.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1219400.0,False,2.919130435
2012,28.65612698412698,0.3,9922640.0,20398.0,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,65800.0,True,2.054545455
2013,28.097369047619047,1701.9,252655069.5,472121.73,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1748599.0,False,2.709615385
2013,29.39714285714286,13.2,11774201.12,22001.76,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,81488.0,True,1.860869565
2014,28.582857142857144,1065.8000000000002,201090193.0,439585.08,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1332076.0,False,2.047096774
2014,28.82238095238095,4.9,7728548.16,16894.68,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,51196.0,True,1.799032258
2015,28.56,1036.0,214096746.7,447418.95,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1355815.0,False,1.764193548
2015,28.81142857142857,9.3,9067350.11,18948.93,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,57421.0,True,1.685925926
2016,28.60142857142857,1113.7,259717679.0,593156.2,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1694732.0,False,1.838
2016,29.20619047619048,1.5,9753443.0,22275.4,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,63644.0,True,1.6528125
2017,28.55952380952381,1643.4,256198176.0,618364.5,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1627275.0,False,2.406451613
2017,29.123809523809523,0.3,8109419.52,19573.04,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,51508.0,True,1.817241379
2018,27.940952380952385,1643.4,254065538.4,548230.2,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1566372.0,False,1.559375
2018,29.123809523809523,0.3,4515972.4,9744.7,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,27842.0,True,2.154482759
2019,28.38047619047619,1643.4,279844274.0,602831.75,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1629275.0,False,2.6478125
2019,29.155238095238094,0.3,10206494.48,21986.51,1.63,19.62,16.35,67.1,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,59423.0,True,2.36
