Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Season_Winter     ,Yield (t/ha)
2002,22.628370370370373,206.8,36444636.55,96241.25,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,384965.0,False,False,2.092777778
2002,28.636351851851853,610.3,133113404.3,351519.5,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1406078.0,True,False,2.747777778
2002,20.054861111111112,78.80000000000001,383516122.3,1012771.0,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,4051084.0,False,True,2.221666667
2003,22.85198148148148,589.8,33628751.94,81540.72,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,339753.0,False,False,2.131666667
2003,28.593777777777778,501.3,137596849.0,333635.52,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1390148.0,True,False,2.879444444
2003,18.907722222222223,145.3,408461359.9,990409.44,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,4126706.0,False,True,2.283333333
2005,22.94424074074074,631.6,34552429.68,60507.09,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,288129.0,False,False,2.116111111
2005,28.42257407407408,533.7,165724283.4,290210.97,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1381957.0,True,False,2.767222222
2005,19.754944444444444,84.5,493214531.0,863701.23,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,4112863.0,False,True,2.317222222
2006,23.19564814814815,194.3,36251632.89,62448.98,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,283859.0,False,False,2.001111111
2006,28.67488888888889,571.1,178951466.4,308271.26,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1401233.0,True,False,3.028888889
2006,19.04297222222222,29.700000000000003,511087246.6,880425.92,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,4001936.0,False,True,2.291666667
2007,22.90953703703704,168.7,37567841.2,45058.88,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,281618.0,False,False,1.956111111
2007,28.67757407407408,512.6,201646506.2,241854.88,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1511593.0,True,False,3.048888889
2007,19.71252777777778,146.29999999999998,523800969.6,628247.04,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,3926544.0,False,True,2.261666667
2008,23.05603703703704,187.1,41831189.76,26319.96,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,292444.0,False,False,2.04
2008,28.111833333333337,450.4,222664932.5,140099.58,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1556662.0,True,False,2.646666667
2008,18.997777777777777,126.8,584545833.6,367793.1,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,4086590.0,False,True,2.393888889
2004,23.32353703703704,428.1,34757855.48,67372.62,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,320822.0,False,False,2.037222222
2004,27.28737037037037,586.7,149117767.6,289041.27,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1376387.0,True,False,2.857777778
2004,20.44783333333333,41.5,442721009.4,858144.84,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,4086404.0,False,True,2.336111111
2009,24.041962962962963,330.9,33355140.84,36390.54,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,214062.0,False,False,2.095
2009,27.99712962962963,655.5,222776321.5,243049.51,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1429703.0,True,False,2.79
2009,19.558055555555555,56.0,621149940.6,677676.1,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,3986330.0,False,True,2.346111111
2010,23.63853703703704,176.60000000000002,35237246.52,50911.68,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,212132.0,False,False,2.081666667
2010,29.536388888888887,655.9,227552760.1,328774.08,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1369892.0,True,False,3.123888889
2010,20.707194444444447,67.60000000000001,558482085.4,806909.28,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,3362122.0,False,True,2.487222222
2011,23.34127777777778,111.6,35676901.92,70280.43,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,212971.0,False,False,2.072222222
2011,28.271,590.4,204554651.5,402955.08,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1221076.0,True,False,3.035
2011,19.87061111111111,39.3,670021870.6,1319885.49,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,3999653.0,False,True,2.475555556
2012,23.964,243.1,30926365.6,63575.42,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,205082.0,False,False,2.259444444
2012,28.7445,464.1,185222060.4,380761.53,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1228263.0,True,False,3.206111111
2012,20.06,117.20000000000002,604854728.4,1243401.63,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,4010973.0,False,True,2.53
2013,23.22338888888889,569.1,30348101.64,56709.72,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,210036.0,False,False,2.252777778
2013,28.76033333333333,652.7,185957907.6,347488.65,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1286995.0,True,False,3.127222222
2013,20.551277777777777,41.8,580366625.4,1084497.12,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,4016656.0,False,True,2.626111111
2014,23.278888888888886,93.5,34393065.84,75183.57,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,227829.0,False,False,2.516111111
2014,28.45555555555556,482.8,194741419.2,425706.6,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1290020.0,True,False,3.254444444
2014,20.12555555555556,72.9,605147615.5,1322858.46,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,4008662.0,False,True,2.700555556
2015,23.245555555555555,112.4,37262022.7,77870.1,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,235970.0,False,False,2.48
2015,28.724444444444444,599.9000000000001,206954477.4,432493.05,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1310585.0,True,False,3.155
2015,20.524444444444445,64.4,628071234.0,1312542.0,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,3977400.0,False,True,2.670555556
2016,23.544444444444444,244.6,38002628.5,86792.3,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,247978.0,False,False,2.493809524
2016,28.383333333333333,452.8,181659638.3,414883.35,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1185381.0,True,False,3.244285714
2016,20.075000000000003,75.9,607405608.8,1387223.25,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,3963495.0,False,True,2.691363636
2017,23.343888888888888,417.4,39256247.04,94749.58,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,249341.0,False,False,2.45
2017,28.65611111111111,505.7000000000001,203991544.3,492357.64,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1295678.0,True,False,3.375714286
2017,20.60388888888889,24.5,628565345.3,1517116.56,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,3992412.0,False,True,2.684545455
2018,23.23888888888889,417.4,37464956.0,80843.0,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,230980.0,False,False,2.672380952
2018,28.64333333333333,505.7000000000001,207534900.0,447825.0,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1279500.0,True,False,3.45952381
2018,20.523333333333333,24.5,649139322.4,1400732.2,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,4002092.0,False,True,2.744545455
2019,23.23888888888889,417.4,36950041.76,79596.62,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,215126.0,False,False,2.434285714
2019,28.89833333333333,505.7000000000001,218439558.7,470555.64,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1271772.0,True,False,3.464285714
2019,19.881666666666668,24.5,687740265.5,1481508.49,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,4004077.0,False,True,2.771363636
