Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Organic_Carbon_High_%,Organic_Carbon_Low_%,pH_Acidic_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Kharif     ,Season_Rabi       ,Season_Summer     ,Season_Winter     ,Yield (t/ha)
2004,23.149922222222223,151.4,433468.34,840.21,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,4001.0,False,False,False,False,0.199375
2004,28.80792222222222,78.9,897488.56,1739.64,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,8284.0,False,False,True,False,0.283076923
2004,21.986283333333333,14.8,3946609.52,7649.88,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,36428.0,False,False,False,True,0.164583333
1998,22.3021,213.4,760167.2,2231.26,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,7694.0,False,False,False,False,0.182941176
1998,27.8144,96.8,776963.2,2280.56,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,7864.0,False,False,True,False,0.203703704
1998,20.540466666666664,59.8,3753906.0,11018.55,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,37995.0,False,False,False,True,0.1668
2005,23.07771111111111,219.3,361438.88,632.94,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,3014.0,False,False,False,False,0.171176471
2005,29.425322222222224,65.8,1238893.52,2169.51,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,10331.0,False,False,True,False,0.284615385
2005,22.088283333333333,40.5,4957612.72,8681.61,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,41341.0,False,False,False,True,0.21125
2006,23.38795555555556,47.4,423997.2,730.4,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,3320.0,False,False,False,False,0.184705882
2006,28.696744444444445,130.6,1226909.97,2113.54,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,9607.0,False,False,True,False,0.272916667
2006,21.277800000000003,0.2,4778397.36,8231.52,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,37416.0,False,False,False,True,0.184166667
2007,23.14468888888889,80.4,604035.2,724.48,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,4528.0,False,False,False,False,0.197058824
2007,29.56371111111111,83.8,1843454.6,2211.04,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,13819.0,False,False,True,False,0.2736
2007,22.03755,33.2,4019608.8,4821.12,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,30132.0,False,False,False,True,0.1825
2008,24.275466666666667,24.8,507792.0,319.5,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,3550.0,False,False,False,False,0.156875
2008,28.434344444444445,65.6,823195.2,517.95,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,5755.0,False,False,True,False,0.278695652
2008,21.0308,37.9,4050749.76,2548.71,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,28319.0,False,False,False,True,0.19625
2009,23.86878888888889,133.1,710539.2,775.2,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,4560.0,False,False,False,False,0.197777778
2009,28.929822222222224,69.3,1433232.36,1563.66,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,9198.0,False,False,True,False,0.294347826
2009,22.29615,2.5,4952427.06,5403.11,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,31783.0,False,False,False,True,0.213478261
2010,23.346522222222223,168.6,1055462.94,1524.96,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,6354.0,False,False,False,False,0.205555556
2010,29.77703333333333,100.8,1301139.63,1879.92,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,7833.0,False,False,True,False,0.324583333
2010,21.962666666666667,47.2,6239589.93,9015.12,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,37563.0,False,False,False,True,0.193478261
2011,23.55643333333333,20.3,756687.84,1490.61,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,4517.0,False,False,False,False,0.182
2011,29.275966666666665,133.8,878977.44,1731.51,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,5247.0,False,False,True,False,0.304347826
2011,22.37575,20.3,2805792.48,5527.17,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,16749.0,False,False,False,True,0.176086957
2012,24.04243333333333,138.1,493116.0,1013.7,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,3270.0,False,False,False,False,0.226666667
2012,29.3346,56.1,453606.4,932.48,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,3008.0,False,False,True,False,0.338695652
2012,22.1084,57.5,2329106.0,4787.95,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,15445.0,False,False,False,True,0.263636364
2013,23.59191111111112,392.2,395469.13,738.99,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2737.0,False,False,False,False,0.25
2013,29.80135555555556,111.3,669133.19,1250.37,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,4631.0,False,False,True,False,0.333478261
2013,22.448616666666663,11.1,2336547.79,4366.17,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,16171.0,False,False,False,True,0.231818182
2014,23.24866666666667,114.0,555381.84,1214.07,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,3679.0,False,False,False,False,0.25125
2014,29.177,123.6,642334.8,1404.15,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,4255.0,False,False,True,False,0.350434783
2014,22.081333333333337,18.5,2705052.24,5913.27,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,17919.0,False,False,False,True,0.2695
2015,23.812666666666665,30.9,467255.69,976.47,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2959.0,False,False,False,False,0.258
2015,29.373,100.2,731597.03,1528.89,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,4633.0,False,False,True,False,0.309047619
2015,22.240666666666662,34.0,1963452.94,4103.22,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,12434.0,False,False,False,True,0.182
2016,23.69,103.9,547255.75,1249.85,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,3571.0,False,False,False,False,0.270909091
2016,29.35533333333333,83.5,219913.75,502.25,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,1435.0,False,False,True,False,0.408333333
2016,22.271666666666665,19.4,1685750.0,3850.0,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,11000.0,False,False,False,True,0.2825
2017,23.60933333333333,191.1,384311.04,927.58,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2441.0,False,False,False,False,0.301818182
2017,29.648333333333333,63.900000000000006,290949.12,702.24,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,1848.0,False,False,True,False,0.352941176
2017,22.100666666666665,6.5,1655481.6,3995.7,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,10515.0,False,False,False,True,0.268333333
2018,23.249,191.1,258222.4,557.2,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,1592.0,False,False,False,False,0.287
2018,29.64733333333333,63.900000000000006,361543.8,780.15,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2229.0,False,False,True,False,0.282857143
2018,22.105,6.5,1793283.2,3869.6,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,11056.0,False,False,False,True,0.212777778
