Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_Medium_%,Potassium_Medium_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
2007,29.037256944444444,1369.4,17559041.8,21060.32,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,131627.0,9.998571429
2008,29.54945833333333,1083.6,18873984.96,11875.41,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,131949.0,8.455
2009,30.008722222222225,707.8000000000001,19494796.02,21268.87,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,125111.0,9.361428571
2010,29.277861111111108,536.2,21209921.46,30644.64,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,127686.0,9.54
2011,29.365111111111112,964.9,21621806.4,42593.1,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,129070.0,12.275
2012,29.41722222222222,924.4,18555487.6,38144.57,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,123047.0,13.43888889
2013,29.88471527777778,722.2,15154544.67,28318.41,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,104883.0,14.13615385
2014,29.9575,848.5,14311158.96,31284.33,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,94801.0,14.64727273
2015,29.77555555555556,742.3000000000001,14829170.19,30989.97,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,93909.0,15.8025
2016,29.852222222222224,993.8,14003985.0,31983.0,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,91380.0,16.25875
2017,29.77611111111112,936.9,13141831.68,31719.36,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,83472.0,17.72428571
2018,29.64833333333333,936.9,11456834.8,24721.9,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,70634.0,12.475
2019,29.93722222222222,936.9,8311466.4,17904.3,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,48390.0,13.32
