Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Season_Whole Year ,Yield (t/ha)
2016,27.209130434782608,27.700000000000003,1931256.5,4410.7,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,12602.0,True,False,0.910833333
2017,28.681304347826085,1841.0,479404.8,1157.1,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,3045.0,False,False,0.924285714
2017,26.97188405797101,38.8,960541.44,2318.38,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,6101.0,True,False,1.082727273
2018,28.38086956521739,1841.0,526825.6,1136.8,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,3248.0,False,False,0.994285714
2018,26.912173913043475,38.8,1635138.2,3528.35,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,10081.0,True,False,0.459230769
2019,28.695652173913043,1841.0,321019.44,691.53,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1869.0,False,False,1.23
2019,26.943188405797105,38.8,1166937.44,2513.78,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,6794.0,True,False,0.967692308
1997,28.508206521739133,1631.1,25543628.0,83204.0,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,268400.0,False,False,0.495263158
1997,26.713014492753626,118.9,11001652.0,35836.0,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,115600.0,True,False,0.402307692
1998,28.9921195652174,2317.2,20372560.0,59798.0,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,206200.0,False,False,0.746842105
1998,26.433572463768115,123.2,12221560.0,35873.0,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,123700.0,True,False,0.385
2004,28.64654347826087,1420.1999999999998,51582407.44,99984.36,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,476116.0,False,False,0.714545455
2004,26.405787439613523,136.0,36050351.68,69877.92,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,332752.0,True,False,0.726818182
2007,28.261532608695653,2337.6,15474400.0,18560.0,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,116000.0,False,False,0.66625
2007,26.76317149758454,5.899999999999999,41354000.0,49600.0,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,310000.0,True,False,1.32875
2013,28.44332608695652,2047.2000000000005,294759.6,550.8,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,2040.0,False,False,0.846666667
2013,27.014550724637683,106.8,2540134.2,4746.6,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,17580.0,True,False,1.084444444
2014,28.74739130434783,1411.6,206664.24,451.77,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1369.0,False,False,1.013333333
2014,26.80463768115942,85.5,2566621.92,5610.66,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,17002.0,True,False,1.321111111
2015,28.68826086956522,1859.7,143698.1,300.3,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,910.0,False,False,0.91
2015,26.92608695652174,83.9,1679688.67,3510.21,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,10637.0,True,False,1.076666667
2016,28.707391304347823,1961.1,145740.75,332.85,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,951.0,False,False,0.862
2016,27.209130434782605,27.700000000000003,757208.25,1729.35,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,4941.0,True,False,1.781428571
2017,28.681304347826085,1841.0,64707.84,156.18,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,411.0,False,False,1.98
2017,26.97188405797101,38.8,510420.48,1231.96,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,3242.0,True,False,2.028888889
2018,28.380869565217395,1841.0,20112.8,43.4,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,124.0,False,False,1.98
2018,26.912173913043475,38.8,391550.8,844.9,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,2414.0,True,False,1.984
2019,28.695652173913043,1841.0,10820.88,23.31,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,63.0,False,False,2.268
2019,26.943188405797105,38.8,767595.44,1653.53,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,4469.0,True,False,2.166153846
1999,28.08171739130435,1538.9,7884822.22,20059.38,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,74294.0,False,False,0.653076923
