Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Potassium_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,Sulphur_Sufficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Season_Whole Year ,Season_Winter     ,Yield (t/ha)
2014,20.12555555555556,72.9,169830.0,371.25,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1125.0,False,False,True,0.661111111
2015,23.245555555555555,112.4,216652.52,452.76,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1372.0,False,False,False,0.756666667
2015,28.724444444444444,599.9000000000001,35508432.15,74205.45,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,224865.0,True,False,False,0.799411765
2015,20.524444444444445,64.4,202440.62,423.06,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1282.0,False,False,True,0.695555556
2016,23.544444444444444,244.6,210565.5,480.9,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1374.0,False,False,False,0.781111111
2016,28.383333333333333,452.8,35694223.75,81520.25,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,232915.0,True,False,False,0.863809524
2016,20.075000000000003,75.9,205201.75,468.65,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1339.0,False,False,True,0.694
2017,23.343888888888888,417.4,127998.72,308.94,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,813.0,False,False,False,0.828333333
2017,28.65611111111111,505.7000000000001,38372536.32,92616.64,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,243728.0,True,False,False,0.952857143
2017,20.60388888888889,24.5,200893.44,484.88,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1276.0,False,False,True,0.765555556
2018,23.23888888888889,417.4,185556.8,400.4,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1144.0,False,False,False,0.7925
2018,28.64333333333333,505.7000000000001,38629389.8,83355.65,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,238159.0,True,False,False,0.911904762
2018,20.523333333333333,24.5,78504.8,169.4,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,484.0,False,False,True,0.72
2019,23.23888888888889,417.4,111815.76,240.87,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,651.0,False,False,False,0.854
2019,28.89833333333333,505.7000000000001,45024307.6,96989.95,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,262135.0,True,False,False,0.595714286
2019,19.881666666666668,24.5,100307.84,216.08,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,584.0,False,False,True,1.03125
