Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Kharif     ,Season_Rabi       ,Season_Summer     ,Season_Whole Year ,Yield (t/ha)
2007,23.766546296296298,230.2,2316224.2,2778.08,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,17363.0,False,True,False,False,3.295
2007,28.67757407407408,512.6,3367016.0,4038.4,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,25240.0,False,False,True,False,2.845294118
2008,23.05603703703704,187.1,5270022.72,3315.87,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,36843.0,False,False,False,False,2.369090909
2008,23.38854938271605,208.4,2568283.2,1615.95,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,17955.0,False,True,False,False,3.217272727
2008,28.111833333333337,450.4,5146007.04,3237.84,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,35976.0,False,False,True,False,2.743529412
2004,28.578,3172.5,7001905.86,13572.09,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,64629.0,True,False,False,False,2.584375
2009,24.041962962962963,330.9,5660940.6,6176.1,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,36330.0,False,False,False,False,1.94
2009,23.865716049382712,123.0,3675014.7,4009.45,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,23585.0,False,True,False,False,3.632727273
2009,27.99712962962963,655.5,5890151.82,6426.17,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,37801.0,False,False,True,False,2.912352941
2010,23.63853703703704,176.60000000000002,5364522.45,7750.8,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,32295.0,False,False,False,False,2.453846154
2010,24.627373456790124,121.3,2861909.19,4134.96,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,17229.0,False,True,False,False,3.234545455
2010,29.536388888888887,655.9,6498887.64,9389.76,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,39124.0,False,False,True,False,2.883529412
2011,23.34127777777778,111.6,5704391.04,11237.16,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,34052.0,False,False,False,False,2.037272727
2011,23.82762962962963,145.3,3788297.28,7462.62,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,22614.0,False,True,False,False,3.447272727
2011,28.271,590.4,6897133.44,13586.76,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,41172.0,False,False,True,False,2.755555556
2012,23.964,243.1,6120670.4,12582.28,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,40588.0,False,False,False,False,2.358
2012,24.25616666666666,135.1,5083317.2,10449.79,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,33709.0,False,True,False,False,3.544166667
2012,28.7445,464.1,7346222.0,15101.65,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,48715.0,False,False,True,False,2.873888889
2013,23.22338888888889,569.1,6314357.49,11799.27,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,43701.0,False,False,False,False,2.767777778
2013,24.17833333333333,76.0,6772101.81,12654.63,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,46869.0,False,True,False,False,3.530833333
2013,28.76033333333333,652.7,7706229.66,14400.18,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,53334.0,False,False,True,False,2.987222222
2014,23.278888888888886,93.5,6855848.4,14986.95,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,45415.0,False,False,False,False,3.369166667
2014,23.953333333333333,127.5,7712999.28,16860.69,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,51093.0,False,True,False,False,3.430833333
2014,28.45555555555556,482.8,8346427.44,18245.37,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,55289.0,False,False,True,False,3.143333333
2015,23.245555555555555,112.4,7206222.85,15059.55,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,45635.0,False,False,False,False,2.642307692
2015,24.16481481481481,133.2,8231848.3,17202.9,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,52130.0,False,True,False,False,3.6
2015,28.724444444444444,599.9000000000001,8740634.32,18266.16,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,55352.0,False,False,True,False,3.279444444
2016,23.544444444444444,244.6,7115550.75,16250.85,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,46431.0,False,False,False,False,2.783333333
2016,24.000925925925927,189.2,8614335.75,19673.85,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,56211.0,False,True,False,False,3.726666667
2016,28.383333333333333,452.8,9319592.25,21284.55,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,60813.0,False,False,True,False,3.493333333
2017,23.343888888888888,417.4,8845766.4,21350.3,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,56185.0,False,False,False,False,2.583157895
2017,24.20129629629629,129.29999999999998,18527224.32,44717.64,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,117678.0,False,True,False,False,4.360666667
2017,28.65611111111111,505.7000000000001,11235705.6,27118.7,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,71365.0,False,False,True,False,3.45952381
2018,23.23888888888889,417.4,8703652.0,18781.0,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,53660.0,False,False,False,False,3.236666667
2018,24.13518518518519,129.29999999999998,16692164.2,36018.85,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,102911.0,False,True,False,False,4.09
2018,28.64333333333333,505.7000000000001,17473968.2,37705.85,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,107731.0,False,False,True,False,3.972380952
2019,23.23888888888889,417.4,8592465.76,18509.62,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,50026.0,False,False,False,False,3.178333333
2019,24.0062962962963,129.29999999999998,29464912.72,63472.39,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,171547.0,False,True,False,False,4.138235294
2019,28.89833333333333,505.7000000000001,24185697.36,52100.07,4.69,31.8,70.39,21.87,32.87,25.89,0.19,24.8,75.01,36.9,98.74,1.26,75.99,24.01,39.77,60.23,140811.0,False,False,True,False,3.916666667
