Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Low_%,Phosphorus_Medium_%,Potassium_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Low_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Season_Whole Year ,Season_Winter     ,Yield (t/ha)
2011,28.271,590.4,411261.6,810.15,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2455.0,True,False,False,12.1
2012,24.25616666666666,135.1,58300335.6,119848.17,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,386607.0,False,False,False,28.56444444
2012,28.7445,464.1,368856.8,758.26,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2446.0,True,False,False,12.0
2013,24.17833333333333,76.0,59204633.01,110632.23,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,409749.0,False,False,False,25.34722222
2013,28.76033333333333,652.7,353422.54,660.42,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2446.0,True,False,False,12.0
2014,23.953333333333333,127.5,61864162.8,135235.65,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,409805.0,False,False,False,30.99555556
2014,28.45555555555556,482.8,369097.2,806.85,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2445.0,True,False,False,12.0
2015,24.16481481481481,133.2,77369425.69,161686.47,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,489959.0,False,False,False,21.85277778
2015,28.724444444444444,599.9000000000001,386089.95,806.85,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2445.0,True,False,False,12.05
2016,24.000925925925927,189.2,63520592.5,145071.5,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,414490.0,False,False,False,29.99272727
2016,28.383333333333333,452.8,396917.5,906.5,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,2590.0,True,False,False,7.125
2017,24.20129629629629,129.29999999999998,67796025.6,163633.7,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,430615.0,False,False,False,30.97954545
2017,28.65611111111111,505.7000000000001,177907.2,429.4,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1130.0,True,False,False,7.6
2018,24.13518518518519,129.29999999999998,70726012.4,152614.7,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,436042.0,False,False,False,27.25909091
2018,28.64333333333333,505.7000000000001,265197.0,572.25,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1635.0,True,False,False,8.02
2019,24.0062962962963,129.29999999999998,74380839.76,160228.87,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,433051.0,False,False,False,27.68363636
2019,28.89833333333333,505.7000000000001,279968.8,603.1,31.8,21.87,54.72,32.87,25.89,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1630.0,True,False,False,8.525
