Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Low_%,Phosphorus_Low_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Season_Winter     ,Yield (t/ha)
2006,24.83477777777778,494.7,39905671.41,68743.62,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,312471.0,True,False,1.837037037
2006,17.178428571428572,52.3,192158468.4,331022.34,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1504647.0,False,True,1.269259259
2007,21.866190476190475,212.4,47238941.0,56658.4,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,354115.0,False,False,1.082592593
2007,24.581238095238096,462.5,43073392.6,51662.24,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,322889.0,True,False,2.085925926
2007,17.854833333333335,79.2,219708732.8,263518.72,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1646992.0,False,True,1.36962963
2008,21.27542857142857,135.6,50156832.96,31558.41,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,350649.0,False,False,1.117777778
2008,23.90111111111112,366.8,51532448.64,32423.94,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,360266.0,True,False,1.951153846
2008,16.686071428571427,45.8,253640101.4,159588.99,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1773211.0,False,True,1.607407407
2009,22.70931746031746,144.9,53108130.6,57941.1,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,340830.0,False,False,1.070740741
2009,24.64373015873016,381.4,61461952.44,67055.14,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,394442.0,True,False,1.903703704
2009,17.692880952380953,23.5,274605325.7,299595.08,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1762324.0,False,True,1.780740741
2010,22.207634920634924,127.8,51159886.68,73917.12,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,307988.0,False,False,1.272592593
2010,25.58020634920635,782.7,66242176.35,95708.4,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,398785.0,True,False,2.342222222
2010,19.506666666666668,11.2,304094587.0,439363.68,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1830682.0,False,True,1.958888889
2011,21.49374603174603,42.1,46316934.72,91240.38,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,276486.0,False,False,1.268518519
2011,23.45998412698413,330.4,65939054.88,129894.27,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,393619.0,True,False,2.489615385
2011,17.56157142857143,26.0,314200679.5,618948.33,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1875601.0,False,True,1.797037037
2012,21.76592063492064,216.5,35917242.4,73835.18,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,238178.0,False,False,1.291481481
2012,24.46001587301588,464.9,58682312.0,120633.4,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,389140.0,True,False,2.7724
2012,18.11304761904762,24.4,280097428.0,575797.1,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1857410.0,False,True,1.968888889
2013,21.64079365079365,127.3,32269240.68,60299.64,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,223332.0,False,False,1.386296296
2013,24.184238095238097,459.5,57670582.68,107765.64,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,399132.0,True,False,2.655925926
2013,18.392261904761902,12.7,271747689.1,507798.99,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1880737.0,False,True,1.982592593
2014,21.68428571428572,38.0,29616540.48,64742.04,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,196188.0,False,False,1.531481481
2014,24.232857142857146,402.6,62852648.88,137396.49,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,416353.0,True,False,2.613076923
2014,17.629523809523807,30.7,284220845.8,621309.48,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1882756.0,False,True,1.977777778
2015,21.537142857142857,76.6,30211657.02,63136.26,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,191322.0,False,False,1.398888889
2015,24.307142857142857,583.4,63950707.62,133644.06,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,404982.0,True,False,2.488076923
2015,18.52190476190476,44.1,298241932.5,623265.39,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1888683.0,False,True,1.965925926
2016,22.02523809523809,174.7,25752743.0,58815.4,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,168044.0,False,False,1.405185185
2016,24.686666666666664,661.8,62546229.0,142846.2,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,408132.0,True,False,2.412692308
2016,18.292380952380952,42.2,289789620.0,661836.0,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1890960.0,False,True,1.996666667
2017,21.861904761904764,222.4,24326211.84,58714.18,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,154511.0,False,False,1.418148148
2017,24.879047619047626,579.3,63039290.88,152152.76,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,400402.0,True,False,2.704615385
2017,18.894761904761907,50.5,295797957.1,713943.24,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1878798.0,False,True,2.063703704
2018,21.61095238095238,222.4,23481045.2,50668.1,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,144766.0,False,False,1.492592593
2018,24.80333333333333,579.3,65021600.6,140305.55,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,400873.0,True,False,2.645
2018,18.63047619047619,50.5,304861225.8,657838.65,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1879539.0,False,True,2.15
2019,21.61095238095238,222.4,21851822.48,47072.51,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,127223.0,False,False,1.464814815
2019,24.517619047619046,579.3,67934171.68,146341.66,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,395518.0,True,False,2.492307692
2019,17.646666666666665,50.5,322601006.1,694936.96,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1878208.0,False,True,2.137037037
2004,21.979761904761904,347.3,47262674.96,91611.24,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,436244.0,False,False,0.802173913
2004,22.97687301587301,683.0,33741084.58,65401.77,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,311437.0,True,False,1.764347826
2004,17.262261904761903,41.4,177249657.0,343570.5,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1636050.0,False,True,1.551304348
