Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Organic_Carbon_High_%,Organic_Carbon_Low_%,pH_Acidic_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Kharif     ,Season_Rabi       ,Season_Summer     ,Season_Winter     ,Yield (t/ha)
2019,29.758666666666667,63.900000000000006,675703.84,1455.58,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,3934.0,False,False,True,False,2.243
2019,22.11466666666667,6.5,16317.2,35.15,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,95.0,False,False,False,True,2.48125
2004,23.149922222222223,151.4,6358691.28,12325.32,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,58692.0,False,False,False,False,1.0572
2004,28.80792222222222,78.9,224372.14,434.91,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2071.0,False,False,True,False,1.267727273
2004,21.986283333333333,14.8,170635.5,330.75,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,1575.0,False,False,False,True,1.461538462
1998,22.3021,213.4,4962724.0,14566.7,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,50230.0,False,False,False,False,0.838846154
1998,27.8144,96.8,27268.8,80.04,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,276.0,False,False,True,False,0.94125
1998,20.540466666666664,59.8,41199.6,120.93,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,417.0,False,False,False,True,0.717142857
2005,23.07771111111111,219.3,6741422.72,11805.36,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,56216.0,False,False,False,False,0.9388
2005,29.425322222222224,65.8,190073.2,332.85,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,1585.0,False,False,True,False,1.497142857
2005,22.088283333333333,40.5,693857.12,1215.06,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,5786.0,False,False,False,True,1.32
2006,23.38795555555556,47.4,6827376.6,11761.2,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,53460.0,False,False,False,False,0.964583333
2006,28.696744444444445,130.6,244692.36,421.52,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,1916.0,False,False,True,False,1.6265
2006,21.277800000000003,0.2,752722.74,1296.68,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,5894.0,False,False,False,True,1.662857143
2007,23.14468888888889,80.4,8629646.0,10350.4,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,64690.0,False,False,False,False,1.096923077
2007,29.56371111111111,83.8,383391.6,459.84,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2874.0,False,False,True,False,1.383043478
2007,22.03755,33.2,867767.0,1040.8,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,6505.0,False,False,False,True,1.561333333
2008,24.275466666666667,24.8,9220501.44,5801.49,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,64461.0,False,False,False,False,1.1028
2008,28.434344444444445,65.6,321696.96,202.41,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2249.0,False,False,True,False,1.528888889
2008,21.0308,37.9,43913.28,27.63,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,307.0,False,False,False,True,1.625333333
2009,23.86878888888889,133.1,12260229.24,13375.94,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,78682.0,False,False,False,False,1.0184
2009,28.929822222222224,69.3,352932.3,385.05,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2265.0,False,False,True,False,1.505217391
2009,22.29615,2.5,32878.02,35.87,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,211.0,False,False,False,True,1.5675
2010,23.346522222222223,168.6,18601330.02,26875.68,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,111982.0,False,False,False,False,1.3952
2010,29.77703333333333,100.8,739853.94,1068.96,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,4454.0,False,False,True,False,1.8296
2010,21.962666666666667,47.2,122921.4,177.6,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,740.0,False,False,False,True,1.978666667
2011,23.55643333333333,20.3,16536569.28,32575.62,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,98714.0,False,False,False,False,1.3072
2011,29.275966666666665,133.8,665221.92,1310.43,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,3971.0,False,False,True,False,2.039130435
2011,22.37575,20.3,29651.04,58.41,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,177.0,False,False,False,True,1.776153846
2012,24.04243333333333,138.1,13658257.6,28077.32,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,90572.0,False,False,False,False,1.4536
2012,29.3346,56.1,539562.4,1109.18,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,3578.0,False,False,True,False,1.860909091
2012,22.1084,57.5,49914.8,102.61,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,331.0,False,False,False,True,2.008461538
2013,23.59191111111112,392.2,13186301.89,24640.47,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,91261.0,False,False,False,False,1.566666667
2013,29.80135555555556,111.3,518863.59,969.57,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,3591.0,False,False,True,False,1.905454545
2013,22.448616666666663,11.1,40168.22,75.06,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,278.0,False,False,False,True,1.802222222
2014,23.24866666666667,114.0,13468349.28,29441.94,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,89218.0,False,False,False,False,1.46875
2014,29.177,123.6,342075.36,747.78,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2266.0,False,False,True,False,2.085
2014,22.081333333333337,18.5,27172.8,59.4,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,180.0,False,False,False,True,2.656363636
2015,23.812666666666665,30.9,8344438.13,17438.19,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,52843.0,False,False,False,False,1.629130435
2015,29.373,100.2,393037.99,821.37,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2489.0,False,False,True,False,1.936111111
2015,22.240666666666662,34.0,40267.05,84.15,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,255.0,False,False,False,True,2.528
2016,23.69,103.9,10491035.25,23959.95,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,68457.0,False,False,False,False,1.746521739
2016,29.35533333333333,83.5,396764.25,906.15,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2589.0,False,False,True,False,1.770769231
2016,22.271666666666665,19.4,205968.0,470.4,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,1344.0,False,False,False,True,1.541818182
2017,23.60933333333333,191.1,6996003.84,16885.68,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,44436.0,False,False,False,False,1.745714286
2017,29.648333333333333,63.900000000000006,335662.08,810.16,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2132.0,False,False,True,False,2.552857143
2017,22.100666666666665,6.5,58882.56,142.12,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,374.0,False,False,False,True,2.14625
2018,23.249,191.1,7968237.2,17194.1,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,49126.0,False,False,False,False,1.665652174
2018,29.64733333333333,63.900000000000006,463081.0,999.25,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2855.0,False,False,True,False,2.334615385
2018,22.105,6.5,10867.4,23.45,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,67.0,False,False,False,True,2.231
